Pcode,Town,District,dis_code,Province,Geo_x,Geo_y,B,S,Ignore_prov,Ignore_district,Ignore_description
1781,LIBANON,West Rand District Municipality,DC48,Gauteng,-26.33082,28.15614,Y,Y,Gauteng,DC48,West Rand District Municipality
1782,VENTERSPOS,West Rand District Municipality,DC48,Gauteng,-26.26203,27.61981,Y,Y,Gauteng,DC48,West Rand District Municipality
1784,LEKKERPLAAS,West Rand District Municipality,DC48,Gauteng,-26.322216,27.649012,Y,,Gauteng,DC48,West Rand District Municipality
1785,ALUNSA,West Rand District Municipality,DC48,Gauteng,-26.322216,27.649012,Y,,Gauteng,DC48,West Rand District Municipality
1786,GLENHARVIE,West Rand District Municipality,DC48,Gauteng,-26.39063,27.60519,Y,Y,Gauteng,DC48,West Rand District Municipality
1787,SUURBEKOM,West Rand District Municipality,DC48,Gauteng,-26.31693,27.70312,Y,Y,Gauteng,DC48,West Rand District Municipality
1788,HERMINA,West Rand District Municipality,DC48,Gauteng,-26.322216,27.649012,Y,,Gauteng,DC48,West Rand District Municipality
1789,HILLSHAVEN,West Rand District Municipality,DC48,Gauteng,-26.3679,27.66286,Y,Y,Gauteng,DC48,West Rand District Municipality
1790,HEKPOORT,West Rand District Municipality,DC48,Gauteng,-25.9042692,27.59305837,Y,,Gauteng,DC48,West Rand District Municipality
1791,MAGALIESBURG,West Rand District Municipality,DC48,Gauteng,-25.94811,27.55171999,Y,Y,Gauteng,DC48,West Rand District Municipality
1794,WITPOORTJIE,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.13697,27.83599,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1795,VALBLUM,West Rand District Municipality,DC48,Gauteng,-26.322216,27.649012,Y,,Gauteng,JHB,City of Johannesburg Metropolitan Municipality,DIS,,Location:Valblum Box Code:1795 Municipality:West Rand State:Gauteng Country:South Africa
1800,DUBE,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.2384326,27.894407,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1801,DUBE,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.2385439,27.8926765,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1803,ORLANDO,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.22216475,27.92390066,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1804,DIEPKLOOF EXT 6,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.2445833,27.9541894,,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1805,ORANGE FARM,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.4762399,27.84417,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1806,ORLANDO EAST,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.23729,27.92704,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1807,THABANENG,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.22216475,27.92390066,Y,,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1808,PIMVILLE,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.27401,27.89706,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1809,CENTRAL WESTERN JABAVU,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.2360587,27.8738456,,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1811,NANCEFIELD,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.3101119,27.8977469,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1812,KLIPTOWN,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.2796089,27.88753,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1813,ELDORADOPARK,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.293215,27.8883717,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1814,PROTEA SOUTH,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.2819241,27.8447239,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1815,PROTEA NORTH,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.2749213,27.8348974,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1816,MIDWAY,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.2931745,27.8511035,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1817,TSHIAWELO,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.2890576,27.8705335,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1818,DLAMINI,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.2724806,27.8794925,,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1819,PROTEA GLEN,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.25997,27.81052,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1820,LENASIA EXT 1,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.31653,27.83323,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1821,LENASIA,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.317829,27.82851,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
